lineages_l,number_genomes_per_lineage
BQ.1.1.7,247
BQ.1.1.71,117
BQ.1.1.72,171
BQ.1.1.74,28
BQ.1.1.76,1
BQ.1.1.79,6
BQ.1.1.8,1748
BQ.1.1.9,20
BQ.1.10,341
BQ.1.10.1,61
BQ.1.10.2,23
BQ.1.10.3,2
BQ.1.11,271
BQ.1.11.1,1
BQ.1.12,179
BQ.1.13,81
BQ.1.13.1,294
BQ.1.14,229
BQ.1.15,126
BQ.1.16,95
BQ.1.17,11
BQ.1.18,430
BQ.1.19,6
BQ.1.2,1032
BQ.1.2.1,14
BQ.1.2.2,9
BQ.1.2.3,30
BQ.1.20,58
BQ.1.21,158
BQ.1.22,110
BQ.1.23,276
BQ.1.24,40
BQ.1.25,178
BQ.1.25.1,14
BQ.1.26,26
BQ.1.26.1,3
BQ.1.27,3
BQ.1.28,18
BQ.1.3,85
BQ.1.3.1,47
BQ.1.3.2,126
BQ.1.31,40
BQ.1.33,3
BQ.1.4,72
BQ.1.5,418
BQ.1.6,2
BQ.1.7,9
BQ.1.8,2336
BQ.1.8.1,16
BQ.1.8.2,565
BQ.2,21
BR.1,34
BR.1.2,16
BR.2,6
BR.2.1,230
BR.3,11
BR.5,5
BS.1,2
BS.1.1,3
BT.1,52
BT.2,40
BU.1,104
BU.3,3
BV.1,5
BV.2,19
BW.1,8
BW.1.1,33
BW.1.1.1,24
BW.1.1.2,5
BY.1,102
BY.1.1,2
BY.1.1.1,14
BY.1.2,25
BY.1.2.1,1
CA.1,5
CA.2,8
CA.3,64
CA.3.1,1
CA.5,2
CA.6,3
CA.7,203
CB.1,94
CD.1,1
CE.1,87
CG.1,27
CH.1,2
CH.1.1,5568
CH.1.1.1,2606
CH.1.1.10,331
CH.1.1.11,196
CH.1.1.12,7
CH.1.1.13,261
CH.1.1.14,173
CH.1.1.15,112
CH.1.1.16,14
CH.1.1.17,22
CH.1.1.18,75
CH.1.1.19,575
CH.1.1.2,995
CH.1.1.20,37
CH.1.1.21,49
CH.1.1.23,43
CH.1.1.24,33
CH.1.1.25,3
CH.1.1.26,21
CH.1.1.27,23
CH.1.1.28,153
CH.1.1.3,63
CH.1.1.30,8
CH.1.1.32,9
CH.1.1.5,110
CH.1.1.6,497
CH.1.1.7,17
CH.1.1.8,191
CH.1.1.9,210
CH.3.1,4
CJ.1,11
CJ.1.1,19
CJ.1.2,96
CJ.1.3,12
CK.1,198
CK.1.2,8
CK.1.3,9
CK.1.4,22
CK.2,16
CK.2.1,100
CK.2.1.1,71
CK.3,81
CL.1,113
CL.1.1,14
CL.1.2,6
CL.1.3,25
CM.1,5
CM.11,1
CM.12,5
CM.2,75
